id,State,name,rate2010,rate2011,rate2012,rate2013,rate2014,rate2015,rate2016
05115,AR,Pope County,"62,110","62,646","62,631","62,538","63,094","63,492","63,779"
05117,AR,Prairie County,"8,716","8,578","8,460","8,364","8,314","8,280","8,251"
05119,AR,Pulaski County,"383,623","386,776","388,905","391,312","392,633","392,932","393,250"
05121,AR,Randolph County,"17,967","17,974","17,854","17,621","17,540","17,455","17,448"
05123,AR,St. Francis County,"28,181","27,960","27,907","27,408","27,026","26,578","26,196"
05125,AR,Saline County,"107,667","109,901","111,758","114,287","115,780","117,358","118,703"
05127,AR,Scott County,"11,246","11,223","10,986","10,874","10,659","10,510","10,277"
05129,AR,Searcy County,"8,176","8,069","7,988","7,979","7,908","7,850","7,967"
05131,AR,Sebastian County,"125,817","126,909","127,418","127,127","126,827","127,590","127,793"
05133,AR,Sevier County,"17,142","17,166","17,153","17,297","17,377","17,226","16,910"
05135,AR,Sharp County,"17,280","17,274","17,061","17,084","16,904","16,931","17,157"
05137,AR,Stone County,"12,394","12,563","12,610","12,490","12,445","12,430","12,539"
05139,AR,Union County,"41,556","41,375","40,864","40,603","40,158","40,158","39,887"
05141,AR,Van Buren County,"17,308","17,197","17,167","16,992","16,893","16,780","16,628"
05143,AR,Washington County,"204,012","207,833","211,497","215,979","219,891","224,233","228,049"
05145,AR,White County,"77,333","78,116","78,670","78,635","78,532","79,013","79,263"
05147,AR,Woodruff County,"7,240","7,189","7,068","7,042","6,886","6,727","6,641"
05149,AR,Yell County,"22,155","21,935","21,804","21,768","21,850","21,607","21,552"
06001,CA,Alameda County,"1,513,653","1,532,019","1,555,542","1,581,226","1,608,868","1,632,747","199,970"
06003,CA,Alpine County,"1,160","1,109","1,123","1,141","1,104","1,106","1,071"
06005,CA,Amador County,"37,869","37,524","37,089","36,576","36,739","37,026","37,383"
06007,CA,Butte County,"219,983","219,987","221,180","222,116","223,974","225,251","226,864"
06009,CA,Calaveras County,"45,462","45,106","44,760","44,577","44,589","44,840","45,171"
06011,CA,Colusa County,"21,446","21,366","21,323","21,322","21,256","21,318","21,588"
06013,CA,Contra Costa County,"1,052,875","1,066,126","1,078,242","1,094,030","1,108,996","1,123,231","199,912"
06015,CA,Del Norte County,"28,562","28,466","28,212","27,837","27,252","27,301","27,540"
06017,CA,El Dorado County,"181,153","180,863","180,558","181,427","183,031","184,359","185,625"
06019,CA,Fresno County,"932,463","940,496","946,844","953,762","963,151","972,130","979,915"
06021,CA,Glenn County,"28,109","28,186","27,938","27,915","27,982","27,961","28,085"
06023,CA,Humboldt County,"135,032","135,243","134,663","134,555","134,665","135,383","136,646"
06025,CA,Imperial County,"174,751","176,227","177,287","177,194","178,866","179,806","180,883"
06027,CA,Inyo County,"18,513","18,403","18,408","18,418","18,410","18,251","18,144"
06029,CA,Kern County,"841,676","849,484","855,808","864,454","872,138","879,497","884,788"
